corresponding_id,alias,real_name,start,end,extra,links
,archbishop of canterbury,Charles Longley,1862/10/20,1868/10/28,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,Archibald Campbell Tait,1868/11/28,1882/12/01,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,Edward White Benson,1883/01/13,1896/10/11,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,Frederick Temple,1896/11/09,1902/12/22,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,Randall Davidson,1903/01/14,1928/11/12,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
1114,mr secretary canning,George Canning,1807/03/25,1809/10/11,Secretary of State for Foreign Affairs,https://en.wikipedia.org/wiki/George_Canning
1114,mr secretary canning,George Canning,1822/09/13,1827/04/20,Secretary of State for Foreign Affairs,https://en.wikipedia.org/wiki/George_Canning
4856,sir henry selwin-ibbetson,Henry John Selwin-Ibbetson,1826/09/26,1902/01/15,1st Baron Rookwood,"https://en.wikipedia.org/wiki/Henry_Selwin-Ibbetson,_1st_Baron_Rookwood"
6752,earl of clarendon,Thomas Villiers,1786/12/11,1824/03/07,2nd Earl of Clarendon,"https://en.wikipedia.org/wiki/Thomas_Villiers,_2nd_Earl_of_Clarendon"
1097,earl of clarendon,John Charles Villiers,1824/03/07,1838/12/22,3rd Earl of Clarendon,"https://en.wikipedia.org/wiki/John_Villiers,_3rd_Earl_of_Clarendon"
6580,earl of clarendon,George William Frederick Villiers,1838/12/22,1870/06/27,4th Earl of Clarendon,"https://en.wikipedia.org/wiki/George_Villiers,_4th_Earl_of_Clarendon"
5247,earl of clarendon,Edward Hyde Villiers,1870/06/27,1914/10/02,5th Earl of Clarendon,"https://en.wikipedia.org/wiki/Edward_Villiers,_5th_Earl_of_Clarendon"
2218,lord denman,Thomas Denman,1834,1854/09/26,1st Baron of Denman,"https://en.wikipedia.org/wiki/Thomas_Denman,_1st_Baron_Denman"
,lord denman,Thomas Aitchison-Denman,1854/09/26,1894/08/09,2nd Baron Denman,"https://en.wikipedia.org/wiki/Thomas_Aitchison-Denman,_2nd_Baron_Denman"
,lord denman,Thomas Denman,1894/08/09,1954/06/24,3rd Baron Denman,"https://en.wikipedia.org/wiki/Thomas_Denman,_3rd_Baron_Denman"
2518,lord ashley,Anthony Ashley-Cooper,1811,1851,7th Earl of Shaftesbury,"https://en.wikipedia.org/wiki/Anthony_Ashley-Cooper,_7th_Earl_of_Shaftesbury"
,lord ashley,Anthony Ashley-Cooper,1900/10/04,1947/03/08,courtsey title,"https://en.wikipedia.org/wiki/Anthony_Ashley-Cooper,_Lord_Ashley"
3961,lord naas,Richard Southwell Bourke,1842,1867,Viceroy and Governor-General of India,"https://en.wikipedia.org/wiki/Richard_Bourke,_6th_Earl_of_Mayo"
,lord naas,Dermot Robert Wyndham Bourke,1867,1872,,"https://en.wikipedia.org/wiki/Dermot_Bourke,_7th_Earl_of_Mayo"
,admiral field,Frederick Laurence Field,1884,1933,,https://en.wikipedia.org/wiki/Frederick_Field_(Royal_Navy_officer)
6009,admiral field,Edward Field,1851/12/20,1912/03/26,,https://en.wikipedia.org/wiki/Edward_Field_(Royal_Navy_officer)
1174,earl beauchamp,William Lygon,1815,1816/10/21,1st earl beauchamp,"https://en.wikipedia.org/wiki/William_Lygon,_1st_Earl_Beauchamp"
1300,earl beauchamp,William Beauchamp Lygon,1816/10/21,1823/05/12,2nd earl beauchamp,"https://en.wikipedia.org/wiki/William_Lygon,_2nd_Earl_Beauchamp"
,earl beauchamp,John Reginald Lygon,1823/05/12,1853,3rd earl beauchamp,https://en.wikipedia.org/wiki/Earl_Beauchamp
1964,earl beauchamp,Henry Beauchamp Lygon,1853,1863/09/08,4th earl beauchamp,"https://en.wikipedia.org/wiki/Henry_Lygon,_4th_Earl_Beauchamp"
4326,earl beauchamp,Henry Lygon,1863/09/08,1866/03/04,5th earl beauchamp,"https://en.wikipedia.org/wiki/Henry_Lygon,_5th_Earl_Beauchamp"
4550,earl beauchamp,Frederick Lygon,1866/03/04,1891/02/19,6th Earl Beauchamp,"https://en.wikipedia.org/wiki/Frederick_Lygon,_6th_Earl_Beauchamp"
7087,earl beauchamp,William Lygon,1891/02/19,1938/11/14,7th Earl Beauchamp,"https://en.wikipedia.org/wiki/William_Lygon,_7th_Earl_Beauchamp"
1110,earl of harrowby,Dudley Ryder,1809/07/19,1847/12/26,1st Earl of Harrowby,"https://en.wikipedia.org/wiki/Dudley_Ryder,_1st_Earl_of_Harrowby"
2172,earl of harrowby,Dudley Ryder,1847/12/26,1882/11/19,2nd Earl of Harrowby,"https://en.wikipedia.org/wiki/Dudley_Ryder,_2nd_Earl_of_Harrowby"
4406,earl of harrowby,Dudley Francis Stuart Ryder,1882/11/19,1900/03/26,3rd Earl of Harrowby,"https://en.wikipedia.org/wiki/Dudley_Ryder,_3rd_Earl_of_Harrowby"
,earl of harrowby,Henry Dudley Ryder,1900/03/26,1900/12/11,4th Earl of Harrowby,"https://en.wikipedia.org/wiki/Henry_Ryder,_4th_Earl_of_Harrowby"
7166,earl of harrowby,John Herbert Dudley Ryder,1900/12/11,1956/03/30,5th Earl of Harrowby,"https://en.wikipedia.org/wiki/John_Ryder,_5th_Earl_of_Harrowby"
5237,sir henry james,Henry James,1873,1895,1st Baron James of Hereford,"https://en.wikipedia.org/wiki/Henry_James,_1st_Baron_James_of_Hereford"
6881,lord balfour of burleigh,Alexander Bruce,1869,1921/07/06,6th Lord Balfour of Burleigh,"https://en.wikipedia.org/wiki/Alexander_Bruce,_6th_Lord_Balfour_of_Burleigh"
5318,general sir george balfour,George Balfour,1809/12/08,1894/03/12,,https://en.wikipedia.org/wiki/George_Balfour_(Liberal_politician)
